Title,Company,Location,Apply
"b'Urgent Opening For Quality Manager Chakan, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-quality-manager-chakan-pune-location-at-rajveer-enterprises-4029575724?position=1&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=K7uklvBwm%2BanYS5SVIHQ6w%3D%3D'
b'IFAS Publications - Education Counsellor - Sales',b'IFAS Edutech',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/ifas-publications-education-counsellor-sales-at-ifas-edutech-4011058266?position=2&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=6npthUpeqkPuudHpsK6TEQ%3D%3D'
b'Client serving or Brand Communication',b'Unipro Education',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/client-serving-or-brand-communication-at-unipro-education-3627628103?position=3&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=uIufIYd%2F1lxpKHaTfwjxzA%3D%3D'
b'Junior Python Engineer',b'Delaplex',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/junior-python-engineer-at-delaplex-4045939396?position=4&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=BdTJbC2LH%2F0y%2F4S3dr%2BNSA%3D%3D'
b'Assistant Project Engineer',b'NICMAR',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/assistant-project-engineer-at-nicmar-4053835192?position=5&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=NgAGG4Jc%2F47FfXq2Ms%2FMYA%3D%3D'
b'COO (Pricing & Insights)',b'PyjamaHR',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/coo-pricing-insights-at-pyjamahr-4076486641?position=6&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=a%2FWvE%2Bi%2Bak5JpTFfPb6wVg%3D%3D'
b'Python Developer',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/python-developer-at-ltimindtree-4033866700?position=7&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=wjGRRyqEgb35g3voOZ2%2F3w%3D%3D'
"b'ML Engineers_ Bangalore, Noida, Pune, Nagpur_ Deepanshi'",b'CodersBrain',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/ml-engineers-bangalore-noida-pune-nagpur-deepanshi-at-codersbrain-4037129268?position=8&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=6LHOBiM3oq%2FG9I5OZLH6Yw%3D%3D'
"b'Urgent Opening for Quality Manager For Chakan in MNC Company, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-quality-manager-for-chakan-in-mnc-company-pune-location-at-rajveer-enterprises-4030328751?position=9&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=%2BtW5jysZuuVaSJmS3wa%2Fbw%3D%3D'
b'Mechanical Engineer',b'SLB',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/mechanical-engineer-at-slb-4052953348?position=10&pageNum=1&refId=LUXGbCTEQ5sWPm4d22PZ%2Bg%3D%3D&trackingId=qwjFzu2m1mUr7dzV%2BWSR4Q%3D%3D'
b'Junior Python Engineer',b'Delaplex',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/junior-python-engineer-at-delaplex-4045939396?position=1&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=jvms5smp5DPhQRjBm%2FUP5Q%3D%3D'
b'Assistant Project Engineer',b'NICMAR',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/assistant-project-engineer-at-nicmar-4053835192?position=2&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=3ohrIMQjlkitxbUDpAGyxQ%3D%3D'
b'COO (Pricing & Insights)',b'PyjamaHR',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/coo-pricing-insights-at-pyjamahr-4076486641?position=3&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=0ulwZNN%2BQ9SJWrMHpMlNVg%3D%3D'
b'Python Developer',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/python-developer-at-ltimindtree-4033866700?position=4&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=ZP%2BUqPrkW1oj6QB3m8tZhg%3D%3D'
"b'Urgent Opening for Quality Manager For Chakan in MNC Company, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-quality-manager-for-chakan-in-mnc-company-pune-location-at-rajveer-enterprises-4030328751?position=5&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=rMj8zTe4WD2%2FjG9WhwaRgg%3D%3D'
b'Mechanical Engineer',b'SLB',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/mechanical-engineer-at-slb-4052953348?position=6&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=Sutz4D81R47%2B51LE%2BMK76Q%3D%3D'
b'Key Account Manager',b'Easebuzz',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/key-account-manager-at-easebuzz-4046400257?position=7&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=MNWIcztNEWaEI3RFmgl48w%3D%3D'
b'Financial Analyst',b'SLB',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/financial-analyst-at-slb-4028415875?position=8&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=QyCM1ka5kD6pmCNwbnUzKA%3D%3D'
b'City Head HORECA',b'Ninjacart',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/city-head-horeca-at-ninjacart-4056260439?position=9&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=7z%2FsUIaXV9JNPExiuUzuRA%3D%3D'
b'Business Analyst - LoanIQ',b'Infosys',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/business-analyst-loaniq-at-infosys-4067218852?position=10&pageNum=2&refId=nr550no2lhIbrWgRDE%2F%2B9w%3D%3D&trackingId=p2Y%2BPPYBk22VGQYNFoinJA%3D%3D'
b'COO (Pricing & Insights)',b'PyjamaHR',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/coo-pricing-insights-at-pyjamahr-4076486641?position=1&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=7avf%2BvnaO3FxNBsVjuEwcw%3D%3D'
b'Python Developer',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/python-developer-at-ltimindtree-4033866700?position=2&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=7jmF0jOhIP4C1sAhkTjfrA%3D%3D'
"b'Urgent Opening for Quality Manager For Chakan in MNC Company, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-quality-manager-for-chakan-in-mnc-company-pune-location-at-rajveer-enterprises-4030328751?position=3&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=BN76lSEdcx6ma9iJJCO3pw%3D%3D'
b'Mechanical Engineer',b'SLB',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/mechanical-engineer-at-slb-4052953348?position=4&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=4%2B2uFsePebnbH%2BjNBfLfFg%3D%3D'
b'Key Account Manager',b'Easebuzz',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/key-account-manager-at-easebuzz-4046400257?position=5&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=%2BGCTvCbJ74jP2OEcwmTtsA%3D%3D'
b'Financial Analyst',b'SLB',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/financial-analyst-at-slb-4028415875?position=6&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=DSElL51f3h1a3JuQncwFWg%3D%3D'
b'City Head HORECA',b'Ninjacart',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/city-head-horeca-at-ninjacart-4056260439?position=7&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=%2Bv%2BIoBMo%2FTo%2Bqf6eGw22sA%3D%3D'
