Title,Company,Location,Apply
b'Executive Operations',"b'Mahindra Logistics, M&M Limited.'","b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/executive-operations-at-mahindra-logistics-m-m-limited-4069513455?position=1&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=mVVxX7RmwG9mFFCY9y2m8w%3D%3D'
b'City Operations Manager',b'Curefit - house of cult',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/city-operations-manager-at-curefit-house-of-cult-4073719427?position=2&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=DZSEHkO1og0WKA19DYeTZA%3D%3D'
b'Team Lead',b'Tech Mahindra',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/team-lead-at-tech-mahindra-4051632224?position=3&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=2eX%2ByWDzwNZFNeKOVwRH1g%3D%3D'
b'Stores Executive',b'Raveone Consultants',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/stores-executive-at-raveone-consultants-3945493500?position=4&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=GrYO4owG3EEoNaznXqMXuw%3D%3D'
b'CRM Functional Tester',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/crm-functional-tester-at-ltimindtree-4058314760?position=5&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=7E13tZu4N8UdzdJCMuwCsw%3D%3D'
b'Design Manager - Ecommerce',b'FirstCry.com (BrainBees Solutions Ltd.)',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/design-manager-ecommerce-at-firstcry-com-brainbees-solutions-ltd-4056772534?position=6&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=7tvEJ91rfXXyN6Xj6vRO7w%3D%3D'
"b'Urgent Opening For Quality Manager Chakan, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-quality-manager-chakan-pune-location-at-rajveer-enterprises-4029575724?position=7&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=d5R1iskQkJQ7Ohy%2Fgjm%2BBw%3D%3D'
b'IFAS Publications - Education Counsellor - Sales',b'IFAS Edutech',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/ifas-publications-education-counsellor-sales-at-ifas-edutech-4011058266?position=8&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=ZlwhbVoMxHLbYI4%2Fy%2BGp0g%3D%3D'
b'Client serving or Brand Communication',b'Unipro Education',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/client-serving-or-brand-communication-at-unipro-education-3627628103?position=9&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=%2BIcqI7JeQYdJzDO%2BiVx9UA%3D%3D'
b'Junior Python Engineer',b'Delaplex',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/junior-python-engineer-at-delaplex-4045939396?position=10&pageNum=0&refId=i7bWWIwObP3dGRosS9KhNw%3D%3D&trackingId=gUTk9d4jrotBdc3mfScXHQ%3D%3D'
b'IFAS Publications - Education Counsellor - Sales',b'IFAS Edutech',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/ifas-publications-education-counsellor-sales-at-ifas-edutech-4011058266?position=1&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=zH1r7dOpZu46kRkZ4sgk%2Fw%3D%3D'
b'Client serving or Brand Communication',b'Unipro Education',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/client-serving-or-brand-communication-at-unipro-education-3627628103?position=2&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=uKmSHFPNgf4V73xIomzjVA%3D%3D'
b'Frontend (React)',b'Kodo',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/frontend-react-at-kodo-3953957878?position=3&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=bKJH6sWyi9f2Cti6OYvm8A%3D%3D'
b'Junior Python Engineer',b'Delaplex',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/junior-python-engineer-at-delaplex-4045939396?position=4&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=Anvr7dHmEhfYvd6imxFfiA%3D%3D'
b'Assistant Project Engineer',b'NICMAR',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/assistant-project-engineer-at-nicmar-4053835192?position=5&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=uVrMzi%2FqptX0WubADa5TxA%3D%3D'
b'COO (Pricing & Insights)',b'PyjamaHR',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/coo-pricing-insights-at-pyjamahr-4076486641?position=6&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=izrGPoktC4%2FCxwl1UqE%2FGg%3D%3D'
b'Python Developer',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/python-developer-at-ltimindtree-4033866700?position=7&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=rXXw37IbqroSseJWqq05Jg%3D%3D'
"b'Urgent Opening for Quality Manager For Chakan in MNC Company, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-quality-manager-for-chakan-in-mnc-company-pune-location-at-rajveer-enterprises-4030328751?position=8&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=6QcAMEU2u%2B9DkmCKkGgLDg%3D%3D'
b'Mechanical Engineer',b'SLB',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/mechanical-engineer-at-slb-4052953348?position=9&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=9beRkmUtpWFs%2BgiSi0vmeg%3D%3D'
b'Key Account Manager',b'Easebuzz',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/key-account-manager-at-easebuzz-4046400257?position=10&pageNum=1&refId=v0eJuIQzFhxBBfGhVAPsGw%3D%3D&trackingId=a5knRF2VdNOCySbkDbc8Bw%3D%3D'
b'Key Account Manager',b'Easebuzz',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/key-account-manager-at-easebuzz-4046400257?position=1&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=25WHFAP94ZhDCA7MDqMqig%3D%3D'
b'Financial Analyst',b'SLB',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/financial-analyst-at-slb-4028415875?position=2&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=mPCXituxcMDsljGUGiXL0w%3D%3D'
b'City Head HORECA',b'Ninjacart',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/city-head-horeca-at-ninjacart-4056260439?position=3&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=Wawb4gV%2FHL3elMQz0408OA%3D%3D'
b'Business Analyst - LoanIQ',b'Infosys',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/business-analyst-loaniq-at-infosys-4067218852?position=4&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=vObq2QoT7Tu9aSp0cQaYCA%3D%3D'
b'Urgent | Opening for Wealth Relationship Manager',b'PARADIGM',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-wealth-relationship-manager-at-paradigm-4072576014?position=5&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=u2TGJC3Ks8l8cV2HDTow6g%3D%3D'
b'Operations Manager',b'ICICI Lombard',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/operations-manager-at-icici-lombard-4059303443?position=6&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=wT5qjRmXRMDMQ2F3xfUUqg%3D%3D'
b'Finance Manager',b'Peppermint Robotics',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/finance-manager-at-peppermint-robotics-4033260623?position=7&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=T8NSVsqvmhqz7y0qjgXtIg%3D%3D'
b'Data Scientist',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/data-scientist-at-ltimindtree-3815661772?position=8&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=ejSk0uHjQ0oVRWEXFvY65g%3D%3D'
b'HR Assistant',b'PrimaVerse',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/hr-assistant-at-primaverse-4069001530?position=9&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=T61y9Kw82WmdjXXb%2Bvwmhg%3D%3D'
"b'Urgent Opening for Plant Head in MNC Company for Bhosari, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-plant-head-in-mnc-company-for-bhosari-pune-location-at-rajveer-enterprises-4032805146?position=10&pageNum=2&refId=7WyOlB2oooBr90%2BboZOfbg%3D%3D&trackingId=o8lH8me5MgOEJvPDqN4HEA%3D%3D'
b'Business Analyst - LoanIQ',b'Infosys',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/business-analyst-loaniq-at-infosys-4067218852?position=1&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=Qi93jfrf2aLdOz2GHCl%2B5A%3D%3D'
b'Urgent | Opening for Wealth Relationship Manager',b'PARADIGM',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-wealth-relationship-manager-at-paradigm-4072576014?position=2&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=0RwMCFe5sFAr2ghNHl8MDQ%3D%3D'
b'Operations Manager',b'ICICI Lombard',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/operations-manager-at-icici-lombard-4059303443?position=3&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=jUiWnNwpWOtDnnx3ilZrkg%3D%3D'
b'Finance Manager',b'Peppermint Robotics',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/finance-manager-at-peppermint-robotics-4033260623?position=4&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=2r7aJwqUD5w6xNQ9IYDVSA%3D%3D'
b'Data Scientist',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/data-scientist-at-ltimindtree-3815661772?position=5&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=Fg6lAxQGd2RyYJk4Obm7UA%3D%3D'
b'HR Assistant',b'PrimaVerse',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/hr-assistant-at-primaverse-4069001530?position=6&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=kAOBe2UfZ8suka1d8Nk4Lg%3D%3D'
"b'Urgent Opening for Plant Head in MNC Company for Bhosari, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-plant-head-in-mnc-company-for-bhosari-pune-location-at-rajveer-enterprises-4032805146?position=7&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=b6JrAKd%2FurPm7f3mL25DFw%3D%3D'
b'Analyst',b'SecurityHQ',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/analyst-at-securityhq-4030784751?position=8&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=3jJB88ZzTEfyShlWWxXb1A%3D%3D'
b'Network Engineer freshers',b'Career',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/network-engineer-freshers-at-career-4050399461?position=9&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=ucrh746mvqVAWAj3BFYTwg%3D%3D'
b'Data & Analytics Specialist',b'Capgemini',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/data-analytics-specialist-at-capgemini-4033705718?position=10&pageNum=2&refId=IQSPlKtpKGPytldTUhluXA%3D%3D&trackingId=Oa7uGUqd8Lp0iqm%2FtmsIPg%3D%3D'
